name,female,male
Yelp,54,46
Etsy,54,46
Indiegogo,50,50
Pandora,49,51
Pinterest,45,55
Slack,45,55
Groupon,44,56
Netflix,43,57
LinkedIn,42,58
AirBnB,41,59
eBay,40,60
Amazon,39,61
Uber,38,62
Twitter,38,62
Yahoo!,37,63
HP,37,63
Flickr,37,63
Tumblr,37,63
Facebook,35,65
Instagram,35,65
Apple,32,68
Ingram Micro,31,69
Salesforce,31,69
Google,31,69
YouTube,31,69
Dell,28,72
Intel,26,74
Microsoft,26,74
Cisco,24,76
Nvidia,17,83
